Tab,Row in V3,Review group,Section,Page,Web address,Pick needed,Initial decision,Reason
Main site,2,1 Core pages,Top-level pages,Homepage,https://uncommonschools.org/,yes,Keep,"In the site menu; 753,254 views in 12 months."
Main site,3,1 Core pages,Top-level pages,Careers,https://uncommonschools.org/careers/,yes,Keep,"In the site menu; 64,567 views in 12 months."
Main site,4,1 Core pages,Top-level pages,About us,https://uncommonschools.org/about-us/,yes,Keep,"In the site menu; 13,605 views in 12 months."
Main site,5,1 Core pages,Top-level pages,Our people,https://uncommonschools.org/our-people/,yes,Keep,"In the site menu; 9,365 views in 12 months."
Main site,6,1 Core pages,Top-level pages,Enroll,https://uncommonschools.org/enroll/,yes,Keep,"In the site menu; 8,947 views in 12 months."
Main site,7,1 Core pages,Top-level pages,Our schools,https://uncommonschools.org/our-schools/,yes,Keep,"In the site menu; 8,928 views in 12 months."
Main site,8,1 Core pages,Top-level pages,Our approach,https://uncommonschools.org/our-approach/,yes,Keep,"In the site menu; 8,137 views in 12 months."
Main site,9,1 Core pages,Top-level pages,Referrals,https://uncommonschools.org/referrals/,yes,Keep,"In the site menu; 8,021 views in 12 months."
Main site,10,1 Core pages,Top-level pages,Contact us,https://uncommonschools.org/contact-us/,yes,Keep,"In the site menu; 7,224 views in 12 months."
Main site,11,1 Core pages,Top-level pages,Find a school,https://uncommonschools.org/find-a-school/,yes,Keep,"In the site menu; 6,197 views in 12 months."
Main site,12,1 Core pages,Top-level pages,Sharing our practices,https://uncommonschools.org/sharing-our-practices/,yes,Keep,"In the site menu; 4,234 views in 12 months."
Main site,13,1 Core pages,Top-level pages,Our roles,https://uncommonschools.org/our-roles/,yes,Keep,"In the site menu; 3,610 views in 12 months."
Main site,14,1 Core pages,Top-level pages,Professional development,https://uncommonschools.org/professional-development/,yes,Keep,"In the site menu; 3,584 views in 12 months."
Main site,15,1 Core pages,Top-level pages,Results,https://uncommonschools.org/results/,yes,Keep,"In the site menu; 3,416 views in 12 months."
Main site,16,1 Core pages,Top-level pages,The student experience,https://uncommonschools.org/the-student-experience/,yes,Keep,"In the site menu; 2,666 views in 12 months."
Main site,17,1 Core pages,Top-level pages,Donate,https://uncommonschools.org/donate/,yes,Keep,"In the site menu; 2,388 views in 12 months."
Main site,18,1 Core pages,Top-level pages,FAQ,https://uncommonschools.org/faq/,yes,Keep,"In the site menu; 2,094 views in 12 months."
Main site,19,1 Core pages,Top-level pages,Uncommon sense,https://uncommonschools.org/uncommon-sense/,yes,Keep,"In the site menu; 1,856 views in 12 months."
Main site,20,1 Core pages,Top-level pages,News,https://uncommonschools.org/news/,yes,Keep,"In the site menu; 1,621 views in 12 months."
Main site,21,1 Core pages,Top-level pages,Why uncommon,https://uncommonschools.org/why-uncommon/,yes,Keep,"In the site menu; 1,445 views in 12 months."
Main site,22,1 Core pages,Top-level pages,Press,https://uncommonschools.org/press/,yes,Keep,In the site menu; 755 views in 12 months.
Main site,23,1 Core pages,Top-level pages,Match your donation,https://uncommonschools.org/match-your-donation/,yes,Keep,"On the enroll, donate, or careers path; 71 views in 12 months."
Main site,24,1 Core pages,Top-level pages,Nyc enrollment,https://uncommonschools.org/nyc-enrollment/,yes,Keep,"On the enroll, donate, or careers path; 53 views in 12 months."
Main site,25,1 Core pages,Top-level pages,Nyc enrollment confirm,https://uncommonschools.org/nyc-enrollment-confirm/,yes,Keep,"On the enroll, donate, or careers path; 9 views in 12 months."
Main site,26,1 Core pages,Top-level pages,Donor dashboard,https://uncommonschools.org/donor-dashboard/,yes,Keep,"On the enroll, donate, or careers path; 7 views in 12 months."
Main site,27,1 Core pages,Top-level pages,Donation confirmation,https://uncommonschools.org/donation-confirmation/,yes,Keep,"On the enroll, donate, or careers path; 4 views in 12 months."
Main site,28,1 Core pages,Top-level pages,Donation failed,https://uncommonschools.org/donation-failed/,yes,Keep,"On the enroll, donate, or careers path; 4 views in 12 months."
Main site,29,1 Core pages,Careers,Jobs,https://uncommonschools.org/careers/jobs/,yes,Keep,"In the site menu; 609,140 views in 12 months."
Main site,30,1 Core pages,Careers,Thank you,https://uncommonschools.org/careers/thank-you/,yes,Keep,"On the enroll, donate, or careers path; 9 views in 12 months."
Main site,31,2 Legal and compliance,Top-level pages,Uncommon schools student data privacy notice,https://uncommonschools.org/uncommon-schools-student-data-privacy-notice/,yes,Keep,"Legal or compliance page; Miriam vets any change. 1,178 views in 12 months."
Main site,32,2 Legal and compliance,Top-level pages,Data privacy notice,https://uncommonschools.org/data-privacy-notice/,yes,Keep,"Legal or compliance page; Miriam vets any change. 1,038 views in 12 months."
Main site,33,2 Legal and compliance,Top-level pages,Current legal notices,https://uncommonschools.org/current-legal-notices/,yes,Keep,Legal or compliance page; Miriam vets any change. 828 views in 12 months.
Main site,34,2 Legal and compliance,Top-level pages,ADA notice,https://uncommonschools.org/ada-notice/,yes,Keep,Legal or compliance page; Miriam vets any change. 491 views in 12 months.
Main site,35,2 Legal and compliance,Top-level pages,Health and safety policies,https://uncommonschools.org/health-and-safety-policies/,yes,Keep,Legal or compliance page; Miriam vets any change. 33 views in 12 months.
Main site,36,2 Legal and compliance,News posts,Week march 29 tiered focus monitoring review roxbury prep,https://uncommonschools.org/boston/week-march-29-tiered-focus-monitoring-review-roxbury-prep/,yes,Keep,Legal or compliance page; Miriam vets any change. 11 views in 12 months.
Main site,37,3 Content pages,Top-level pages,Teachers,https://uncommonschools.org/teachers/,yes,Keep,"5,181 views in 12 months."
Main site,38,3 Content pages,Top-level pages,School operations,https://uncommonschools.org/school-operations/,yes,Keep,"4,534 views in 12 months."
Main site,39,3 Content pages,Top-level pages,Student support,https://uncommonschools.org/student-support/,yes,Keep,"4,238 views in 12 months."
Main site,40,3 Content pages,Top-level pages,School leaders,https://uncommonschools.org/school-leaders/,yes,Keep,"3,820 views in 12 months."
Main site,41,3 Content pages,Top-level pages,Home office,https://uncommonschools.org/home-office/,yes,Keep,"3,161 views in 12 months."
Main site,42,3 Content pages,Top-level pages,Alumni college grads,https://uncommonschools.org/alumni-college-grads/,yes,Keep,523 views in 12 months.
Main site,43,3 Content pages,Top-level pages,Alumni,https://uncommonschools.org/alumni/,yes,Keep,492 views in 12 months.
Main site,44,3 Content pages,Top-level pages,Uncommon leadership charter high school,https://uncommonschools.org/uncommon-leadership-charter-high-school/,yes,Keep,467 views in 12 months.
Main site,45,3 Content pages,Top-level pages,Kellyclarksonshow,https://uncommonschools.org/kellyclarksonshow/,yes,Keep,386 views in 12 months.
Main site,46,3 Content pages,Top-level pages,Alumni success coaches,https://uncommonschools.org/alumni-success-coaches/,yes,Keep,385 views in 12 months.
Main site,47,3 Content pages,Top-level pages,Apprentice teachers,https://uncommonschools.org/apprentice-teachers/,yes,Keep,360 views in 12 months.
Main site,48,3 Content pages,Top-level pages,Alumni deans list,https://uncommonschools.org/alumni-deans-list/,yes,Keep,302 views in 12 months.
Main site,49,3 Content pages,Top-level pages,Alumni spotlights,https://uncommonschools.org/alumni-spotlights/,yes,Keep,184 views in 12 months.
Main site,50,3 Content pages,Top-level pages,Teach at uncommon schools,https://uncommonschools.org/teach-at-uncommon-schools/,yes,Keep,183 views in 12 months.
Main site,51,3 Content pages,Top-level pages,What matters in math,https://uncommonschools.org/what-matters-in-math/,yes,Keep,120 views in 12 months.
Main site,52,3 Content pages,Top-level pages,Gma,https://uncommonschools.org/gma/,yes,Keep,95 views in 12 months.
Main site,53,3 Content pages,Top-level pages,Subscribe to uncommon alumni newsletters,https://uncommonschools.org/subscribe-to-uncommon-alumni-newsletters/,yes,Keep,68 views in 12 months.
Main site,54,3 Content pages,Top-level pages,Alumni events,https://uncommonschools.org/alumni-events/,yes,Keep,67 views in 12 months.
Main site,55,3 Content pages,Top-level pages,Ready4k,https://uncommonschools.org/ready4k/,yes,Keep,64 views in 12 months.
Main site,56,3 Content pages,Top-level pages,Alumni newsletter resources,https://uncommonschools.org/alumni-newsletter-resources/,yes,Keep,63 views in 12 months.
Main site,57,3 Content pages,Top-level pages,I3 evaluation,https://uncommonschools.org/i3-evaluation/,yes,Keep,61 views in 12 months.
Main site,58,3 Content pages,Top-level pages,College career resources,https://uncommonschools.org/college-career-resources/,yes,Keep,60 views in 12 months.
Main site,59,3 Content pages,Top-level pages,Alumni spotlights 2026 highlights,https://uncommonschools.org/alumni-spotlights-2026-highlights/,yes,Keep,57 views in 12 months.
Main site,60,3 Content pages,Top-level pages,Results 2 2,https://uncommonschools.org/results-2-2/,yes,Consolidate,Decided by hand: A second Results page; fold into Results.
